project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,pci5,status
Suomenoja power station,2,gas_power_plant,Fortum Power and Heat Oy,Fortum Oyj,Finland,operating,2009,234,,MW,point,60.149,24.718,,https://www.gem.wiki/Suomenoja_power_station,,operating
Suomenoja power station,6,gas_power_plant,Fortum Power and Heat Oy,Fortum Oyj,Finland,operating,1989,45,,MW,point,60.149,24.718,,https://www.gem.wiki/Suomenoja_power_station,,operating
Sutton Bridge power station,1,gas_power_plant,Calon Energy,Macquarie Group Ltd,United Kingdom,mothballed,1999,819,,MW,point,52.757,0.19189,,https://www.gem.wiki/Sutton_Bridge_power_station,,mothballed_plus
Svetlogorsk CHP power station,2,gas_power_plant,Gomelenergo RUE,BelEnergo State Production Association of Power Industry,Belarus,operating,1958,50,,MW,point,52.628,29.77,,https://www.gem.wiki/Svetlogorsk_CHP_power_station,,operating
Svetlogorsk CHP power station,4,gas_power_plant,Gomelenergo RUE,BelEnergo State Production Association of Power Industry,Belarus,operating,1958,60,,MW,point,52.628,29.77,,https://www.gem.wiki/Svetlogorsk_CHP_power_station,,operating
Swentibold power station,1,gas_power_plant,RWE Generation NL BV,RWE AG,Netherlands,operating,1999,230,,MW,point,50.972,5.7911,,https://www.gem.wiki/Swentibold_power_station,,operating
Synthos Oswiecim power station,CC1,gas_power_plant,Synthos Dwory 7,Synthos Group SA,Poland,construction,2023,120,,MW,point,50.039,19.271,,https://www.gem.wiki/Synthos_Oswiecim_power_station,,construction_plus
Szeged Energy power station,CC 1,gas_power_plant,Szeged Energia Zrt.,Advanced Power AG,Hungary,shelved,,460,,MW,point,46.253,20.141,,https://www.gem.wiki/Szeged_Energy_power_station,,shelved
Szeged Energy power station,CC 2,gas_power_plant,Szeged Energia Zrt.,Advanced Power AG,Hungary,shelved,,460,,MW,point,46.253,20.141,,https://www.gem.wiki/Szeged_Energy_power_station,,shelved
Székesfehérvár power station,IC1-8,gas_power_plant,"Eromu Fejleszto, Beruházó","Eromu Fejleszto, Beruházó",Hungary,operating,2006,25,,MW,point,47.177,18.407,,https://www.gem.wiki/Székesfehérvár_power_station,,operating
Sønderborg Kraftvarmeværk CHP power station,GT1,gas_power_plant,Sønderborg Kraftvarme A/S,Sønderborg Fjernvarme Amba,Denmark,operating,,52,,MW,point,54.93,9.7819,,https://www.gem.wiki/S%C3%B8nderborg_Kraftvarmev%C3%A6rk_CHP_power_station,,operating
Südraum power station,GuD,gas_power_plant,ZF Friedrichshafen AG,Zeppelin Foundation [93.80%]; DR. JÜRGEN UND IRMGARD ULDERUP STIFTUNG [6.20%],Germany,operating,2012,39,,MW,point,49.214,6.9781,,https://www.gem.wiki/Südraum_power_station,,operating
Südzucker Werk Zeitz power station,1,gas_power_plant,Südzucker AG,Südzucker AG,Germany,operating,1993,26,,MW,point,51.049,12.11,,https://www.gem.wiki/Südzucker_Werk_Zeitz_power_station,,operating
T-power Beringen power station,1,gas_power_plant,T-Power,Tessenderlo Group,Belgium,operating,2011,422,,MW,point,51.059,5.1056,,https://www.gem.wiki/T-power_Beringen_power_station,,operating
T-power Beringen power station,2,gas_power_plant,T-Power,Tessenderlo Group,Belgium,pre-construction,2025,900,,MW,point,51.059,5.1056,,https://www.gem.wiki/T-power_Beringen_power_station,,pre-construction
